data_queue,token_queue,loss,throughput,time,arrivals,blocked
1,1,0.493165,9.960151,100.400087,1975,974
5,1,0.48907,9.99998,100.0002,1967,962
10,1,0.486528,9.99998,100.0002,1967,957
15,1,0.483986,9.99998,100.0002,1967,952
20,1,0.481444,9.99998,100.0002,1967,947
25,1,0.478902,9.99998,100.0002,1967,942
30,1,0.47636,9.99998,100.0002,1967,937
35,1,0.473818,9.99998,100.0002,1967,932
40,1,0.471276,9.99998,100.0002,1967,927
45,1,0.468734,9.99998,100.0002,1967,922
50,1,0.466192,9.99998,100.0002,1967,917
1,5,0.491103,9.999991,100.000087,1967,966
5,5,0.48907,9.99998,100.0002,1967,962
10,5,0.486528,9.99998,100.0002,1967,957
15,5,0.483986,9.99998,100.0002,1967,952
20,5,0.481444,9.99998,100.0002,1967,947
25,5,0.478902,9.99998,100.0002,1967,942
30,5,0.47636,9.99998,100.0002,1967,937
35,5,0.473818,9.99998,100.0002,1967,932
40,5,0.471276,9.99998,100.0002,1967,927
45,5,0.468734,9.99998,100.0002,1967,922
50,5,0.466192,9.99998,100.0002,1967,917
1,10,0.491103,9.999991,100.000087,1967,966
5,10,0.48907,9.99998,100.0002,1967,962
10,10,0.486528,9.99998,100.0002,1967,957
15,10,0.483986,9.99998,100.0002,1967,952
20,10,0.481444,9.99998,100.0002,1967,947
25,10,0.478902,9.99998,100.0002,1967,942
30,10,0.47636,9.99998,100.0002,1967,937
35,10,0.473818,9.99998,100.0002,1967,932
40,10,0.471276,9.99998,100.0002,1967,927
45,10,0.468734,9.99998,100.0002,1967,922
50,10,0.466192,9.99998,100.0002,1967,917
1,15,0.491103,9.999991,100.000087,1967,966
5,15,0.48907,9.99998,100.0002,1967,962
10,15,0.486528,9.99998,100.0002,1967,957
15,15,0.483986,9.99998,100.0002,1967,952
20,15,0.481444,9.99998,100.0002,1967,947
25,15,0.478902,9.99998,100.0002,1967,942
30,15,0.47636,9.99998,100.0002,1967,937
35,15,0.473818,9.99998,100.0002,1967,932
40,15,0.471276,9.99998,100.0002,1967,927
45,15,0.468734,9.99998,100.0002,1967,922
50,15,0.466192,9.99998,100.0002,1967,917
1,20,0.491103,9.999991,100.000087,1967,966
5,20,0.48907,9.99998,100.0002,1967,962
10,20,0.486528,9.99998,100.0002,1967,957
15,20,0.483986,9.99998,100.0002,1967,952
20,20,0.481444,9.99998,100.0002,1967,947
25,20,0.478902,9.99998,100.0002,1967,942
30,20,0.47636,9.99998,100.0002,1967,937
35,20,0.473818,9.99998,100.0002,1967,932
40,20,0.471276,9.99998,100.0002,1967,927
45,20,0.468734,9.99998,100.0002,1967,922
50,20,0.466192,9.99998,100.0002,1967,917
1,25,0.491103,9.999991,100.000087,1967,966
5,25,0.48907,9.99998,100.0002,1967,962
10,25,0.486528,9.99998,100.0002,1967,957
15,25,0.483986,9.99998,100.0002,1967,952
20,25,0.481444,9.99998,100.0002,1967,947
25,25,0.478902,9.99998,100.0002,1967,942
30,25,0.47636,9.99998,100.0002,1967,937
35,25,0.473818,9.99998,100.0002,1967,932
40,25,0.471276,9.99998,100.0002,1967,927
45,25,0.468734,9.99998,100.0002,1967,922
50,25,0.466192,9.99998,100.0002,1967,917
1,30,0.491103,9.999991,100.000087,1967,966
5,30,0.48907,9.99998,100.0002,1967,962
10,30,0.486528,9.99998,100.0002,1967,957
15,30,0.483986,9.99998,100.0002,1967,952
20,30,0.481444,9.99998,100.0002,1967,947
25,30,0.478902,9.99998,100.0002,1967,942
30,30,0.47636,9.99998,100.0002,1967,937
35,30,0.473818,9.99998,100.0002,1967,932
40,30,0.471276,9.99998,100.0002,1967,927
45,30,0.468734,9.99998,100.0002,1967,922
50,30,0.466192,9.99998,100.0002,1967,917
1,35,0.491103,9.999991,100.000087,1967,966
5,35,0.48907,9.99998,100.0002,1967,962
10,35,0.486528,9.99998,100.0002,1967,957
15,35,0.483986,9.99998,100.0002,1967,952
20,35,0.481444,9.99998,100.0002,1967,947
25,35,0.478902,9.99998,100.0002,1967,942
30,35,0.47636,9.99998,100.0002,1967,937
35,35,0.473818,9.99998,100.0002,1967,932
40,35,0.471276,9.99998,100.0002,1967,927
45,35,0.468734,9.99998,100.0002,1967,922
50,35,0.466192,9.99998,100.0002,1967,917
1,40,0.491103,9.999991,100.000087,1967,966
5,40,0.48907,9.99998,100.0002,1967,962
10,40,0.486528,9.99998,100.0002,1967,957
15,40,0.483986,9.99998,100.0002,1967,952
20,40,0.481444,9.99998,100.0002,1967,947
25,40,0.478902,9.99998,100.0002,1967,942
30,40,0.47636,9.99998,100.0002,1967,937
35,40,0.473818,9.99998,100.0002,1967,932
40,40,0.471276,9.99998,100.0002,1967,927
45,40,0.468734,9.99998,100.0002,1967,922
50,40,0.466192,9.99998,100.0002,1967,917
1,45,0.491103,9.999991,100.000087,1967,966
5,45,0.48907,9.99998,100.0002,1967,962
10,45,0.486528,9.99998,100.0002,1967,957
15,45,0.483986,9.99998,100.0002,1967,952
20,45,0.481444,9.99998,100.0002,1967,947
25,45,0.478902,9.99998,100.0002,1967,942
30,45,0.47636,9.99998,100.0002,1967,937
35,45,0.473818,9.99998,100.0002,1967,932
40,45,0.471276,9.99998,100.0002,1967,927
45,45,0.468734,9.99998,100.0002,1967,922
50,45,0.466192,9.99998,100.0002,1967,917
1,50,0.491103,9.999991,100.000087,1967,966
5,50,0.48907,9.99998,100.0002,1967,962
10,50,0.486528,9.99998,100.0002,1967,957
15,50,0.483986,9.99998,100.0002,1967,952
20,50,0.481444,9.99998,100.0002,1967,947
25,50,0.478902,9.99998,100.0002,1967,942
30,50,0.47636,9.99998,100.0002,1967,937
35,50,0.473818,9.99998,100.0002,1967,932
40,50,0.471276,9.99998,100.0002,1967,927
45,50,0.468734,9.99998,100.0002,1967,922
50,50,0.466192,9.99998,100.0002,1967,917
